Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
657,عيون عربيات,ناصر المزداوي,"في السفر ياما شفنا عيون حوريات
العيون الي خذتنا لبنات عربيات
ضيعنا سنين وراهم 
وتباعدنا ومانلناهم
قربنا مرة حداهم لقيناهم جرّاحات
يا عيون حوريات يا سود جرّاحات
دزولنا كلمات ورديات في جوابات",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/XodNo
658,ليلة من الليالي,ناصر المزداوي,"ليلة من الليالي
نستنى وهي في بالي
في جنينة وصفتهالي في الهاتف قالتهالي
في الموعد جت طوالي زي القمر (من تالي؟)
من نظرة شافتهالي ما عرفت ايش جرالي
عيونها لون البحر ولونها زي القمر
سألتني كثير عن حالي حسيت نفسي غالي
 من ضحكة ضحكتهالي احتار قلبي الخالي
حكاياتها حكتهالي صورها ورتهالي
من فرحة (غير معروف) يا حزن ولي التالي
عيونها لون البحر ولونها زي القمر
عيونها لون البحر ولونها زي القمر",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/aMqSw
659,رحلة عمري,ناصر المزداوي,"ماشي ومعاي حزني وأهاتي
سايب وراي كل ذكرياتي
عمري وصباي وسنين حياتي
عندي رفيقين شنطة وجيتار
اليوم مسافرين من مينا المطار
أو منتظرين في محطة قطار
ماشي لوحدي في طريق الغربة شايل في قلبي حكاوي
مافيش عندي في أيامي الصعبة إلا دموعي في (غير واضح)
يا رحلة عمري نهايتك وين
صبرت وصبري اطوال سنين
محتار في أمري وصبري
يا رحلة عمري نهايتك وين",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,1976,جيد,https://on.soundcloud.com/yNtUN
660,مرات,ناصر المزداوي,"مرات نبقى لين الشمس تغيب 
لا رفيق لا صاحب لا أمل لا حبيب 
ماشي بروحي غريب اناجي القمر ونجوم الليل 
راجي في يوم قريب رجوعي بعد غياب طويل 
يا بلادي يلي تراجي في يوم رجوعي 
يا بلادي يلي فراقك زاد دموعي
راجي وشيل السلام لأحبابي هلي راجين
واللي في اخر العام من الفرحه حاير كيف يندير",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/12WAJ
661,شنطة سفر,ناصر المزداوي,"نا مسافر وحامل في إيدي شنطة سفر
نا مسافر وحامل في قلبي حكاية عمر
الغربة طريقي والليل رفيقي وأحلى صحابي ضي القمر
ماشي بروحي نعاني في جروحي وأحلى عذابي طول السفر
كيفك يا أمي كيفك يا بوي كيفكم يا خوتي كيف الخبر
ردو عليا جوابكم هدية يجيبلي معاه نسمة بحر",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/6ebJq
662,نبكي على غزة,ناصر المزداوي,"نبكي على غزة وأطفالها - نساها وشيابها ورجالها
لو ها المرة ما حميناهم - خوفي على الأمة وأبطالها
نبكي على غزة وما جرالها - نبكي على حال عروبتنا
وين أمجادنا ووين أمتنا - وين  النخوة والقومية
يللا نصحو من نومتنا - نبكي على غزة وما جرالها
نبكي وليا (غير معروف) - كلام ونابع من جوايا
نقوللها صبرًا يا غزة - (غير معروف)",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/8ZRns
663,يا أمي بعد سلامي,ناصر المزداوي,"يا أمي بعد سلامي
وبعد شوقي وحبي وكثر ملامي
عدي وشيلي كلامي مكتوب للي في قلبي وفي أحلامي
قوليلهم راني راجع، أنا ريت في الغربة كثير مواجع
قوليلهم يا أمي بالله (غير معروف)
حتى أنا على فراقكم ياما بكيت عليه
قوليلهم يستنو جو الي قعدو سنين فيه يتمنو
ويفرحو ويغنو بعد يوم ولا اثنين بيتهنو
قوليلهم أني راجع 
أنا ريت في الغربة كثير مواجع
قولي لبنت بلادي وحبيبتي الي هجرتها 
راجيني جنب غوالي وتغفرلي غلطة درتها",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/DBnC5
664,سافر وخلانا,ناصر المزداوي,"يا متغربين يا مسيبين بلادكم
يوم العيد باش ترجعو لي بلادكم
سافر لبعيد لعذاب الغربة والحرمان
لثالث عيد لا جواب منك ولا عتاب
سافر وخلانا والشوق يزيد
ولاجواب جانا ولا خبر جديد
وقف دموعنا ونارنا الي تقيد
يداوي جروحنا ويعاود لنا العيد
سافر وخلانا الي كان ما يشفانا
سافر وخلانا مفروض ما ينسانا
ياخوي الي مسافر بلدك هي بلدك
ياخوي الي مهاجر وطنك هو وطنك
ماتلقاش كيف هالبحر ولا كيف هالجمر المطويه
ماتلقاش كيف هالاصحاب ولا كيف ها الاحباب والغيات",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,لا بأس,https://on.soundcloud.com/CwJye
665,يا نجوم الليل,ناصر المزداوي,"يا نجوم الليل اضويلي انتي قنديلي في عتمة ليلي ولما الأحزان تناديلي
يا نجوم الليل تعالي للي ولالي وحبيبي الغالي الي ماعندي غيره والي
الي طبعه وحاله زي حالي ودمي زيه وشوقي شبيه لشوقه ليا
ماغابش لحظة عن بالي حتى شوية ناغاليه وهو غاليا
يا نجوم الليل لا تملي ديما طلي عليا وهلّي نريدك في الغربة زي ظلي 
وعيني الي تدعي وتصلي لي باريها تبكي تبي تشوف غاليها
تنمنى نرجع ونولي ولا يجيها الغالي وبعيونه يزهيها
يا نجوم الليل لا تغيبي عدّي وجيبي معاك حبيبي الي هو جرحي وطبيبي
حبه عايش وسط قليبي ما يتغيب رغم بعاده ديما قريب
قعدنا سنين وهو نصيبي وأغلى حبيب وفوق عناده قلبه طيب
يا نجوم الليل يا بعيدة عيني تريده وناري وقيده من لهفة قلبي على ريده
نتذكر في سلامي بايده وتباعدنا وفينا دار الوقت وعدنا
وتلاقينا في ليلة سعيدة وتعاهدنا مهما صار ما شي يبعدنا",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/Pajzw
666,مشينا مشينا,ناصر المزداوي,"ياما بكينا وقت الوداع واحنا مسافرين - ياما رينا دمعات حزينة فوق الخدين
مشينا والطريق طوالت - بكينا والدموع سالت
لاحد سال علينا ولا حد جي يواسنا - لمنا وياما قسينا وياريتنا ولينا (رجعنا)
حتى حبابنا ها الي بعيد زاد عذابنا - الأجواد منهم في المريض لقي جوابنا
مشينا والطريق طوالت - بكينا والدموع سالت
يا قمرة يا ونس الليل أمشي بسلامنا - الغربة مرة ودمعي يسيل شوق لبلادنا",مكتوبة كاملة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/gh39K
667,الفرقة صعبة,ناصر المزداوي,,الكلمات غير موجودة,,,بوب,NaserMezdawi.jpg,1976,لا بأس,https://on.soundcloud.com/cKSM5
668,زي النسيم وين ما تهبي,ناصر المزداوي,,الكلمات غير موجودة,,,بوب,NaserMezdawi.jpg,غير معروف,رديء,
669,كلام العين,ناصر المزداوي,,الكلمات غير موجودة,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/5zdA4
670,مين زيك,ناصر المزداوي,,مطلع الأغنية/رأس البيت فقط,,,بوب,NaserMezdawi.jpg,غير معروف,جيد,https://on.soundcloud.com/RX8D4
671,ابتهالات دينية - ثبت أقدامنا ,عادل عبدالمجيد,,الكلمات غير موجودة,,,ابتهالات,AdelAbdulmagid.jpg,غير معروف,لا يوجد,
672,احبابنا متغيرين,عادل عبدالمجيد,"احبابنا متغيرين
في عيونهم شفنا - الغلا مطفي الحنين
غايب دفاء بسمتهم - غايب وفاء كلمتهم
ما تقول في رفقتهم - عشنا المحبة سنين

لا ورود المحبة فتحت - في ايدينا ساعة المعياد
و لا طيور الاماني سافرت - تطوف بينا في دنيا الوداد
و الصمت غالب عالكلام - و الشوق تايه و الملام
غايب وفاء كلمتهم - وغايب دفاء بسمتهم
ما تقول في رفقتهم - عشنا المحبة سنين

لا حلو الاغاني - شوقنا غنينا بود و حنان
و لا فرح المواني ضمنا - و لقينا احضان الامان
و الصمت غالب عالكلام - و الشوق تايه و الملام
غايب وفاء كلمتهم - و غايب دفاء بسمتهم
ما تقول في رفقتهم - عشنا المحبة سنين

احبابنا متغيرين
في عيونهم شفنا - الغلا مطفي الحنين
غايب دفاء بسمتهم - غايب وفاء كلمتهم
ما تقول في رفقتهم - عشنا المحبة سنين",مكتوبة كاملة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/avome
673,اطلب من الحي المعبود,عادل عبدالمجيد,,الكلمات غير موجودة,,,ابتهالات,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/niQJj
674,افرح وخلي الفرح بينا هايم,عادل عبدالمجيد,"افرح وخلي الفرح بينا هايم
ياحب عمري - العمر ماهو دايم
عيش معايا - و ردّد علي أوتار المحبة اغنايا
يمكن الناس - تسمع اتعيش هنايا
لا تشوف شاكي لا حزين لا لايم

عيش في فرحة  - و خللي هناك بالحب يصعب شرحه
و اللي شكالك يوم قسوة جرحه - يمكن اخطي  ولا الحبيب موش رايم",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/W2KH8
675,البيت المهجور,عادل عبدالمجيد,,الكلمات غير موجودة,فضل المبروك,عادل عبد المجيد,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/4ZwFU
676,الحمد لك والشكر لك,عادل عبدالمجيد,"الحمد لك والشكر لك - والملك لا شريك لك
وما اهتدى الإنسان إلا بك - ومن يضل فقد هلك
والحمد لك والشكر لك - والملك لا شريك لك

أنت المعين وبك الهدى - والمستعين بك اهتدى
فلا يخيب من يستغيث - أنت مجيب من يرتجيك
وما اهتدى الإنسان إلا بك - والحمد لك والشكر لك
والملك لا شريك لك - ومن يضل فقد هلك

ندعوك في شدتنا - والمعتدين ببابنا
قد حللوا حرماتنا في قدسنا ورحابنا
فانصرنا في محنتنا - واهدينا في خطوتنا
فما اهتدى الإنسان إلا بك - ومن يضل فقد هلك
والحمد لك والشكر لك - والملك لا شريك لك ",مكتوبة كاملة,عاشور عبد العزيز,,ابتهالات,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/xKTct
677,إلتموا الأحباب,عادل عبدالمجيد,تلاقينا إلتموا الأحباب - والفرحة هلت من الباب,مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/bCAUS
678,الدنيا,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا يوجد,
679,ابتهالات دينية - إلهي لاشريك لك,عادل عبدالمجيد,"إلهي لاشريك لك
الحمد لك يلى مايحمد سواك
والشكر لك يلى طامع فى رضاك
والمجد لك و الخلد لك والملك لك
إلهى لاشريك لك",وجب التأكد من اكتمال الكلمات,,,ابتهالات,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/UAL6U
680,النصر,عادل عبدالمجيد,,الكلمات غير موجودة,,,وطنيات,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/5UFqQ
681,الوعد,عادل عبدالمجيد,"واعدتني صدقتك وخلصت لك في الوعد - وغاليتني عشقتك عشق الربيع للورد
عشق النجوم لليل وعشق البحر للموج - وقت الغيم يسيل وفي الحنين يهوج",الكلمات غير مكتملة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/8cBEz
682,أنا عربي,عادل عبدالمجيد,"علمني الكلمة اللي بيها - نبني مستقبل لبلادي
علمني الحرف اللي ينور - اماني حلوة لاولادي
لا تقوللي شرقي و لا غربي - انا عربي انا عربي",الكلمات غير مكتملة,عبدالسلام قادربوه,يوسف العالم,وطنيات,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/4ns1R
683,أهل الفداء يا وطن ,عادل عبدالمجيد,"أهل الفداء يا وطن شجعان معروفين
ما تشوف ظيم ياوطن لو بينا حيين
احنا ضناك و احنا فداك اندهنا جاهزين",الكلمات غير مكتملة,,,وطنيات,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/UvKS2
684,بحر الدنيا,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/8YBxj
685,بالله ياليل,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/ZdKhL
686,بلادي انا عشقك معاي نقي,عادل عبدالمجيد,"بلادي انا عشقك معاي نقي - عاشق انا بعشقي لرضاء ولدي
بلادي غلاك علي - دايب وفاء في الحب و الحنية
وعمري فداء عيون الجماهيرية - و الحب ما يصونه الا الوفي

و كيف ما الزهاء يرافق خطاوي النهر - خضر صحاري عزها من جوده
وكيف ما الهناء ينور سنين العمر - عمري ربيع فايح بعطر وروده
بلادي غلاك صعب علي توصيفه - و قلبي بهواك في العشق ما ريت كيفه
و الحب ما يصونه الا الوفي

و كيف ما الغلا يلهب خيال الشاعر - و يحس الوفاء فوق الكلام يكون
و كيف ما الحنين مدخل يبان مشاعر - عند الحنين وسع المدى و الكون
بلادي غلاك صعب علي توصيفه - و قلبي بهواك في العشق ما ريت كيفه
و الحب ما يصونه الا الوفي",مكتوبة كاملة,فرج المذبل,إبراهيم أشرف,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/2a3oi
687,بلادى يا ضى العيون,عادل عبدالمجيد,بلادى يا ضى العيون - يا ساكنة الفؤاد,مطلع الأغنية/رأس البيت فقط,,,وطنيات,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/RuiT4
688,تحسابني يا جافي,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/HPPmH
689,تسلم يا وطني الكبير,عادل عبدالمجيد,,الكلمات غير موجودة,,,وطنيات,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/1vQHh
690,حالك كيف حالي,عادل عبدالمجيد,"حالك كيف حالي
ليش تشكي من بعد الغالي
يا صاحب",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/BCWT8
691,حبنا بالغيرة ,عادل عبدالمجيد,"غلطنا ظلمنا حبنا بالغيرة - وين ما تباعدنا خدتنا الحيرة
الود نسينا تيار غيرة شالنا عدينا - نريد نرجعوا لشط الحنان لقينا
صعب الرجوع بينا السوايا كثيرة - الفراق لوعنا ندمنا بعد ما حبنا ضيعنا
انت وانا مافيش ما يرجعنا - للحب واحنا اللي نهينا السيرة",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/MSBzh
692,حبيناك,عادل عبدالمجيد,"حبيناك وانت ليش بالهجر كافيتينا
نسيناك رجعتي ليش يعد غيبتك تبينا",مطلع الأغنية/رأس البيت فقط,فرج المذبل,إبراهيم أشرف,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/nXcLy
693,عاتبيني,عادل عبدالمجيد,"حلو العتاب بين الصحاب عاتبيني - على غيبتي تزيدي غلا في عيني

صعب توصيفك - يللي انا ما شفت و لاريت كيفك
في غربتي نتعب يججيني طيفك - يمسح احزان البعد ويواسيني

تقوللي الحيرة - وخوفك عليا من الظنون و الغيرة
عشتي معاهن بين سيرة و سيرة - في غيبتي مش قادرة تنسيني

صعيب توصيفك - ياللي علي ما شفت ما ريت كيفك
في غربتي نتعب ايجيني طيفك - يمسح احزان البعد وايواسيني",مكتوبة كاملة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/Ss98u
694,خوديني للحب يا عين,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/r7gcC
695,الفلاح  - حلوة الصورة,عادل عبدالمجيد,"حلوة الصورة لك يا إنسان
اللون أسمر والجبين عرقان
ترسم خطوطك فوق صدر الأرض
وتفرح بعدما عيدان خضر أتبان
وتغنى بهناء للحب مواويل
ترد السنابل عالغناء وأتميل
وتمسح عرق جهدك بكل حنان 
و حلوة الصوره لك يا إنسان
اللون أسمر والجبين عرقان",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/xQans
696,دزيتلك مرسول,عادل عبدالمجيد,دزيتلك مرسول وانت دزي - هاتي الدواء والا تعالي عزي,مطلع الأغنية/رأس البيت فقط,,,تراث,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/4S4E4
697,دللتني والدلال خذاني,عادل عبدالمجيد,"دللتني والدلال خذاني
دللتني، دللتني
و الدلال خداني و الهوى وتاني
و العمر في قربك زهاء و اماني
دللتني و نسيت اسنين ماعدى
و غالي قديم خالف معايا عهده
و اسنين خلاني نبعد عليه الحب و ين يلقاني

دللتني و راعيتني ابمحنة
و عقلي اتهنى و الفرح بيه للحب قلبي غنى
حلو المعاني ايدوم الهنا و أنت امعاي ترعاني",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/MW1B2
698,ربي اجعل بلدنا أمن,عادل عبدالمجيد,"ربي اجعل بلدنا أمن - ربى اجعل بلادنا امن
فى حضن النور والسلام - يوم بيوم نزيد تضامن
ونبقوا احنا رمز الوئام  ",وجب التأكد من اكتمال الكلمات,,,ابتهالات,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/hrAJs
699,سلام عابر,عادل عبدالمجيد,"سلم علي سلام عابر بعد غيبة طالة علي
ما حس بدمعات الخاطر ولا بخوف قلبي بدي
وعدا ما هدا ما اتقول بينا موده
ياترى معاي خالف وعده والله غير دلال وايجي
سلم علي سلام عابر .. بعد غيبة طالة علي
كنت انريد انقولة ياما عذبني الشوق وهو غايب
وكان بالودانقول ملامه والسماح طبع الحبايب
وهو يدوب رد السلام؟! ودعني وغاب في الزحام
والي حيرني غيابه ما همه طول رجاي
سلام عابر سلم علي
السؤال الحاير , داير في الخواطر والوجدان
يا ترى هذين المواير من حبيبي للنسيان
حسيت باحلام هواي في لحظه تضيع معاه
سلم علي سلام عابر",مكتوبة كاملة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/KsUGQ
700,شفت الحب,عادل عبدالمجيد,"انا شفت الحب في عيونك
يناديني وانا معدي
و الدنيا كلها احلام
تهديني امل وردي
ورجعت نسال في روحي
نعدي معاك ما نعدي",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/CQJMQ
701,الصاحب على الصاحب النشدة واجب,عادل عبدالمجيد,"الصاحب على الصاحب النشدة واجب
و العين ما تحمل فراق الحاجب

الصاحب وده - يبقى قريب كيف خوك اتعده
وقت الزعل يحمل معاك الشدة - و ساعة الهنا تلقاه قبلك طارب

العهود وفيه - بين ألصحاب الصادقين النيه
ديما البعضهم يفرحوا بالجيه - وفي عيونهم ما أتشوف غير مراحب",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/mvwgw
702,شوف عيوني,عادل عبدالمجيد,"شوف عيوني شوف - وش تلقى في عيوني
غير قلبي الملهوف - في حبك يا عيوني",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/ErTgg
703,صدر الزمان,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/hDo3t
704,عاتبني بس ما تهجرني,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/d2Yr9
705,على راحتك,عادل عبدالمجيد,"على راحتك عدي بلا توديع
على راحتك ما بينا توجيع
و كان الخريف صادف اوراق زمانك - غير ارجعي تلقي هواي ربيع
على راحتك

على راحتك لا نعانبك لا انلوم - و لا نقول كان غبتي عليا نهونك
غير كيف نسهى عن غلاك في يوم - و احلى ايامي عشتهن في عيونك
و كان الخريف صادف اوراق زمانك
غير ارجعي تلقي هواي ربيع

على راحتك عدي بهواك و خلي - باب الغلا ما بينا مفتوح
يمكن عليك يقسى الحنين و تولي - تزهر جناين وردنا المجروح
و كان الخريف صادف اوراق زمانك
غير ارجعي تلقي هواي ربيع
و على راحتك",مكتوبة كاملة,فرج المذبل,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/8KRWp
706,عيونك يا حلوة,عادل عبدالمجيد,"عيونك يا حلوة تنادي - باينلي فيهن مشهوار
مش عارف وين - يوديني للجنة ولا للنار",الكلمات غير مكتملة,,إبراهيم فهمي,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/Lz1dT
707,غابة النصر,عادل عبدالمجيد,,الكلمات غير موجودة,,يوسف العالم,وطنيات,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/fCeGF
708,فجر الشعب,عادل عبدالمجيد,"لما الشعب اختار الصعب بعزمه دق
على باب الحربة الغالية باب الحق
و الفاتح فنح الابواب
على عصر الشعب الغلاب
عصر الشعب الحر السيد
مش ليل الاحزان

با مداخن مصانعنا العالية
ايش يقول صوتك في هديره
خير و نغرف من غديره
كنا اجراء اصبحنا شركاء

يا صابات القمح الزاهية في السهول
يا مراعي مفروشة خضرة
ايش بقول صوت مزارع في المزارع
يا ما في ارضنا من خير و من هنا",مكتوبة كاملة,,,وطنيات,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/4CbKu
709,فرح خاطري,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/k8CNv
710,في غلطتك سامحتك,عادل عبدالمجيد,,الكلمات غير موجودة,,حسن عريبي,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/p2cMZ
711,ان تنسى حبي,عادل عبدالمجيد,"ان تنسى حبي انساه كان تتهنى
انسى - ما يهمك عذابه قلبي",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/XLrmX
712,لا باعد المحبوب,عادل عبدالمجيد,,الكلمات غير موجودة,فرج المذبل,إبراهيم أشرف,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/WrUvh
713,لا تنشدي يا عيني ماضي مشى,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/bddRQ
714,ليبيا حلاوة الشهد,عادل عبدالمجيد,"ليبيا حلاوة الشهد
ليبيا  - حلوة حلاوة الشهد
ليبيا - احلى غناوي المجد
تقول اسمها يفتح ربيع الكون
تشوف رسمها تزهى معاك لعيون
و في عشقها يصعب عليك البعد",وجب التأكد من اكتمال الكلمات,فرج المذبل,,وطنيات,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/6PSxT
715,ليش اللوم,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/BJXX7
716,ليش يا حبيب,عادل عبدالمجيد,"انا كل شئ يخطر علي - الا علي تبعد
انا كل شئ يخطر - الا غيبتك على الموعد
وغير ليش يا حبيبي - تخلف بعد ما توعد",وجب التأكد من اكتمال الكلمات,فرج المذبل,إبراهيم أشرف,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/SYC3g
717,ما تلوموش,عادل عبدالمجيد,"ما تلوموش - ما لناش ذنب
تمشي العين و ين قلبك يحب",الكلمات غير مكتملة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/rsJNh
718,العشم,عادل عبدالمجيد,"ما كان العشم تحرم زماني ودك
ولا كان العشم تخلف معاي وعدك",الكلمات غير مكتملة,فرج المذبل,إبراهيم أشرف,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/7HQVD
719,مش كل من جرب الحب تهنى,عادل عبدالمجيد,"مش كل من جرب الحب تهنى - فى من جفى ولفه تباعد عنه
فيه من جفوه اولافه  - ولفه اختفى ماحد جاب اوصافه 
والنور صانه والهناء ماشافه  - علي غيبته وبالروابي غنى 

دبلن اغصان وعوده  - بعد كان زاهي مفتحات وروده 
والزهر نازل دمع فوق خدوده  - ومعاد فايح كيف ماتتمنى 

فيه من يبات في ليله  - سهران يشكي للنجوم بويله 
وفيه من حبيبه حداه بيغنيله  - وبعد الشقاء صبحت حياته جنه",مكتوبة كاملة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/ZkUcF
720,منورة يا ليبيا,عادل عبدالمجيد,,الكلمات غير موجودة,فرج المذبل,,وطنيات,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/8q7M3
721,ابتهالات دينية - ناديت إقبل,عادل عبدالمجيد,"ناديت إقبل
ناديت اقبل يارحيم دعايا
ناديت طمعا فى رضاك والغايا",مطلع الأغنية/رأس البيت فقط,,,ابتهالات,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/m7WdA
722,نار الغيرة,عادل عبدالمجيد,"كان خدتنا نار الغيرة
يضيع هواكن حلو السيرة",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/fMSbt
723,يا سلام ع النسمة,عادل عبدالمجيد,"يا سلام ع النسمة لما تكون مليانه حب

يا سلام ع البسمه لما تكون نبعه من القلب
لو تفكر يا اخي الانسان في الغير بود وحنان
من عيون تزد حنان و منها تطل نظرات الحب

ياما سهرت انا و اليل نسال فيه و يجاوب فيا
ساكت ليش و ليش طويل بطول احزان البشرية
ما يغرك رمز السلام صورة الزيتون و الحمام
دور ع الرمز الحقيقي و امشي في طريق الايام
من عيون تزد حنان و منها تطل نظرات الحب

يا سلام ع النسمة لما تكون مليانه حب
يا سلام ع البسمه لما تكون نبعه من القلب",مكتوبة كاملة,فرج المذبل,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/JAhWv
